# === AdventurerTemplate 冒險者量產 71 位（正式版 v3.1）===
# 資料來源：GDD C-02 §3；【FT-09-LORE】adventurer-templates.csv；GDD-FSD-patch-v3.1 §3.1
# templateID 1-58：普通冒險者（isUnique=0），用於隨機招募
# templateID 101-112：具名冒險者（isUnique=1），12 位
# templateID 901：奧菲莉雅（isUnique=1，敘事核心，fixedTraitIDs=999 沉默）
# fixedTraitIDs=0 = 無固定 trait；randomTraitGroupIDs=0 = 不隨機（全由 fixedTraitIDs 定義）
# factionID=0（中立/無陣營歸屬）；factionID=1（女神陣營）
templateID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,101,102,103,104,105,106,107,108,109,110,111,112,901
name,艾倫·萊德,莉亞·風行,米勒·铁拳,凱瑟琳·藍眼,傑克·荒野,蘇菲·晨光,歐文·石心,伊薇·雨林,維克多·灰狼,艾琳·清澈,盧卡斯·烈火,貝亞·深影,馬庫斯·金盔,安娜·晨霧,西蒙·風旅,克洛伊·星光,雷蒙德·鐵鎖,溫妮·荒漠,普雷斯頓·傳令,艾蕾娜·蘭花,羅蘭·斷劍,芙蘿拉·森林,坦納斯·回聲,露比·珍珠,馬修·獵手,維塔·晨曲,艾德蒙·血契,薩賓娜·夜巡,卡斯帕·尖塔,海倫·銳箭,艾利斯·幻象,傑瑞德·山脈,索菲亞·璧玉,蒙特·棘刺,奧古斯塔·石牆,本傑明·穀地,卡米爾·潮汐,伊莎貝爾·刺翎,法蘭西斯·遠方,艾琳妮·霜晶,威廉·荒岩,帕梅拉·箭鷹,貝爾特·鐵路,艾爾西·深淵,喬治·遺跡,瑪格麗特·銀鈴,羅伯特·兇狼,德懷特·泥沼,瑪德琳·月蔭,柯蒂斯·獵火,萊娜·雲天,丹尼爾·旅路,克利斯汀·凍土,布魯斯·堡壘,米拉·曙光,艾德莉安·苔蘚,賽門·山影,賈斯汀·冬風,馬庫斯·凛冬,艾利亞·暮雨,卡蒙·蒼獵,露西·松針,馬爾科·烽火,蘭妮絲·靜謐,維克托·晨曦,莉利安娜·月夜,米歇爾·眾星,莫德·鐵血,艾文·迷茫,奧菲莉雅·晨曦,奧菲莉雅
rank,F,F,F,F,F,F,F,F,F,F,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,C,B,D,A,C,B,S,S,B,A,B,B
professionID,7,3,1,2,1,6,3,2,7,4,1,3,7,4,2,6,1,4,7,1,1,2,4,6,3,1,7,4,6,3,1,2,7,1,6,4,2,3,7,1,1,2,4,6,3,1,7,4,1,2,6,3,4,1,7,2,1,3,7,6,1,2,7,4,1,2,6,7,3,7,7
raceID,1,2,1,2,1,2,2,2,1,1,3,1,3,2,1,2,3,1,1,3,1,2,1,2,1,3,1,2,2,1,1,2,3,1,2,1,2,2,1,3,3,1,1,2,1,3,1,2,1,1,2,1,2,3,1,2,1,1,1,1,3,2,1,1,3,2,1,1,1,1,1
fixedTraitIDs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,999
randomTraitGroupIDs,7,3,1,2,1,6,3,2,7,4,1,3,7,4,2,6,1,4,7,1,1,2,4,6,3,1,7,4,6,3,1,2,7,1,6,4,2,3,7,1,1,2,4,6,3,1,7,4,1,2,6,3,4,1,7,2,1,3,7,6,1,2,7,4,1,2,6,7,3,7,0
factionID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
isUnique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
bio,年輕傭兵，初出茅廬卻有股莽勁。,精靈遊俠，採集高手但談吐冷淡。,戰士出身，拳頭比嘴硬。,年紀輕輕就能吟詩，但傲氣有點高。,橫衝直撞的戰士，後悔裝備錢花太快。,治癒師小姐，理論講得溜卻臨陣緊張。,沉靜的遊俠，說不出理由就接了委託。,學了點魔法就敢出來闖，運氣好死不了。,傭兵甲，沒什麼特色但活著回來。,斥候，地圖讀得比人臉清楚。,結實戰士，家鄉有妹妹得養活。,採集老手，對什麼都保持懷疑。,人到中年的傭兵，想趁還能動多賺點。,斥候新人，被前隊友拋下過一次。,年紀不大卻愛絮叨的法師。,治癒師，總有人來找她要免費診療。,老兵戰士，膝蓋開始疼痛了。,斥候，逃難出身靠腿吃飯。,傭兵，對各地傳聞都感興趣。,獸人戰士，群體中特別沉默。,硬朗戰士，收集傷疤更多於賺金子。,新手法師，想證明自己不是家族恥辱。,年輕斥候，時不時想起曾失去的人。,精靈治癒師，信不信由你她療傷時邊唱歌。,遊俠，老東家倒閉後四處漂泊。,退役戰士，撫養孤兒的責任讓她不敢退休。,市井傭兵，酒癮大於膽色。,幽靈似的斥候，很少有人記得他叫啥。,治癒師，總說自己命該絕但又活著回來。,沙漠出身的遊俠，懷念風沙。,正當年的戰士，想靠冒險買棟房子。,法師，對自己的天分既驕傲又不安。,傭兵老手，每個傷疤背後都有故事。,鄉村戰士，初來乍到有點迷茫。,治癒師，受過感情傷害後躲進工作。,斥候，追尋失蹤兄長的線索。,法師，家族期望如同無形枷鎖。,遊俠，遺留在森林的回憶太多了。,傭兵，隔壁國家的難民身份不敢言明。,戰士，從沒想過自己會活到這把年紀。,精銳戰士，領導過的小隊全滅後心裡變冷。,天才法師，對平凡深感厭倦。,老牌斥候，退休前再接一份。,經驗豐富的治癒師，醫術勝過藏書閣。,遊俠頭領，部落傳統與現代衝突的產物。,傭兵統領，手下死得越多越不敢停下。,資深斥候，情報價值遠高於劍術。,資深戰士，傷痛是故事，故事是活著的證據。,法師導師，教了太多學徒看著他們死去。,獸人治癒師，草藥知識靠經驗累積。,斥候，邊境失去過太多人。,傳奇傭兵，聲名遠揚卻並無退意。,精靈遊俠，活了一個世紀仍未參悟。,古老的治癒師，自己早該死但沒死。,尊爵不凡的戰士，皇家封爵後卻選擇放浪。,馬庫斯·凛冬，B 階傭兵，面容沉毅。來自邊界磨坊，為保護妹妹的安全而遠離故鄉。,艾利亞·暮雨，C 階法師，柔中帶韌。曾是學院高材生，一場實驗失敗讓她親手埋葬摯友。,卡蒙·蒼獵，B 階戰士，獸人身軀。家族戰士世家末裔，試圖用武力贖清祖先債。,露西·松針，D 階遊俠，精靈血統。放棄了森林的庇護去尋找被獵人奪走的寶物。,馬爾科·烽火，A 階傭兵，人類面孔卻藏著異鄉的疲倦。三十年傭生涯已無家可歸。,蘭妮絲·靜謐，C 階治癒師，年輕卻早熟。一次治療失敗讓她發誓永不逃避責任。,維克托·晨曦，B 階戰士，矮人身軀粗短卻力大。礦災喪妻，靠冒險維持生計與尊嚴。,莉利安娜·月夜，S 階遊俠，傳說中的精靈獵人。三百年狩獵生涯僅為追尋一個失落的秘密。,米歇爾·眾星，S 階法師，已然傳奇卻仍在學習。推毀過帝國魔塔，卻無人敢提她的名字。,莫德·鐵血，B 階傭兵，臉上永遠帶著刀疤。昔年反叛軍統帥，如今是孑然一身的浪人。,艾文·迷茫，A 階斥候，人類探險家。走遍天下卻在某一刻發現自己忘記了為何出發。,奧菲莉雅·晨曦，B 階傭兵，晨光聖殿的信徒。沉默而執著，因某個承諾而踏上不歸路。,"","","",""
