# === AdventurerTemplate 冒險者量產 71 位 ===
# isUnique=1 具名冒險者（13 位：12 位普通 + 1 位奧菲莉雅）
# isUnique=0 普通冒險者（58 位：用於隨機招募）
# PK: templateID 區間 1-58（普通）/ 101-112（具名）/ 901（奧菲莉雅）
# 轉置格式：第一列 = PK，後續每列為一個欄位，第 N 欄為該欄位在各筆記錄的值

templateID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,101,102,103,104,105,106,107,108,109,110,111,112,901
name,艾倫·萊德,莉亞·風行,米勒·铁拳,凱瑟琳·藍眼,傑克·荒野,蘇菲·晨光,歐文·石心,伊薇·雨林,維克多·灰狼,艾琳·清澈,盧卡斯·烈火,貝亞·深影,馬庫斯·金盔,安娜·晨霧,西蒙·風旅,克洛伊·星光,雷蒙德·鐵鎖,溫妮·荒漠,普雷斯頓·傳令,艾蕾娜·蘭花,羅蘭·斷劍,芙蘿拉·森林,坦納斯·回聲,露比·珍珠,馬修·獵手,維塔·晨曲,艾德蒙·血契,薩賓娜·夜巡,卡斯帕·尖塔,海倫·銳箭,艾利斯·幻象,傑瑞德·山脈,索菲亞·璧玉,蒙特·棘刺,奧古斯塔·石牆,本傑明·穀地,卡米爾·潮汐,伊莎貝爾·刺翎,法蘭西斯·遠方,艾琳妮·霜晶,威廉·荒岩,帕梅拉·箭鷹,貝爾特·鐵路,艾爾西·深淵,喬治·遺跡,瑪格麗特·銀鈴,羅伯特·兇狼,德懷特·泥沼,瑪德琳·月蔭,柯蒂斯·獵火,萊娜·雲天,丹尼爾·旅路,克利斯汀·凍土,布魯斯·堡壘,米拉·曙光,艾德莉安·苔蘚,賽門·山影,賈斯汀·冬風,席拉·黎明,艾德里克·鷲眼,卡蒂亞·狼谷,瑪亞·碧海,莫尼卡·幽谷,蘭斯·狂風,伊凡·烈士,克勞德·暗霧,阿爾登·焰心,艾塔·晨星,奧菲莉雅

rank,F,F,F,F,F,F,F,F,F,F,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,C,B,D,A,S,C,D,B,S,A,B,B

professionID,7,3,1,2,1,6,3,2,7,4,1,3,7,4,2,6,1,4,7,1,1,2,4,6,3,1,7,4,6,3,1,2,7,1,6,4,2,3,7,1,1,2,4,6,3,1,7,4,1,2,6,3,4,1,7,2,1,3,7,1,1,6,1,2,3,4,7,6,1,2,7

raceID,1,2,1,2,1,2,2,2,1,1,3,1,3,2,1,2,3,1,1,3,1,2,1,2,1,3,1,2,2,1,1,2,3,1,2,1,2,2,1,3,3,1,1,2,1,3,1,2,1,1,2,1,2,3,1,2,1,1,1,1,3,2,1,2,2,1,1,2,1,3,1

fixedTraitIDs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,999

randomTraitGroupIDs,7,3,1,2,1,6,3,2,7,4,1,3,7,4,2,6,1,4,7,1,1,2,4,6,3,1,7,4,6,3,1,2,7,1,6,4,2,3,7,1,1,2,4,6,3,1,7,4,1,2,6,3,4,1,7,2,1,3,7,1,1,6,1,2,3,4,7,6,1,2,0

factionID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0

isUnique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1

