missionID,7001,7002,7003,7004,7005,7006,7007,7008
name,討伐荒原異獸之王,護送王城秘使突圍,尋覓失落古物殘跡,調查古文明遺留之謎,平定邊境淪陷廢土,討伐末世級威脅,探尋上古遺跡秘密,護送神域邊緣倖存者
description,荒原深處出現了巨型異獸，摧毀了三個哨站。獵人們發現它的足跡不像任何已知物種。這不是狩獵——這是討伐。派遣你最強的戰士。,王城派遣秘使南下籌措聯盟。他們被逼入暗巷。護送隊長與機密檔案安全脫出重圍，代價可能遠超預期。,古遺跡學者報告發現了「鏡中無月」的紀錄碎片。那些碎片能指向失落的古文明中樞。危險難度未知，但線索珍貴。找到它。,北方山脈挖掘隊發現了上古神殿遺跡。牆壁上刻著不屬於任何已知文明的符號。調查這些符號的來源與意義，但勿驚動內部結構。,邊境防線最後一座堡壘報告「淪陷在即」。那裡還有倖存的駐軍與平民。組織一支隊伍，重奪或撤退，選擇權在你。,邊境傳來末日求救：某種不屬於這片土地的高階威脅正在製造大規模毀滅。非野獸、非人類。派遣你最信任的人，這可能是死路一條。,大陸最古老的遺跡被發現底層密室。裡面的東西在呼喚——有人開始聽見它的聲音。進入去，確認威脅，可能的話——摧毀它。,神域邊界的最後一座城鎮開始崩壞。倖存者在向同一個方向逃亡。派遣你能派遣的所有人去帶他們離開，在一切化為虛無前。
difficulty,SS,SS,SS,SS,SS,SSS,SSS,SSS
typeID,1,2,3,4,1,1,4,2
factionID,0,0,0,1,0,0,1,1
categoryID,0,0,0,0,0,0,0,0
isScriptedDeath,0,0,0,0,0,0,0,0
minDangerLevel,3,3,3,3,3,4,4,4
requiredTraitID,0,0,0,0,0,1,3,3
# === 高難委託設計說明 ===
#
# == SS 級（missionID 7001-7005）==
# 世界危險度 minDangerLevel=3（B 危局）| 難度 SS | 需要 B 級以上冒險者派遣
# 設計主題：世界在崩壞的邊緣——異獸失控、秩序動搖、古物甦醒
#
# missionID 7001 | 討伐荒原異獸之王
#   - typeID=1（討伐）| factionID=0（neutral）
#   - 威脅來源：未知異獸，超越已知生物學
#   - 場景：荒原前線，需要「勇猛」或「狩獵」類 trait 的冒險者願意接單
#   - 敘述語氣：簡潔、末世感，強調威脅的陌生性
#
# missionID 7002 | 護送王城秘使突圍
